Disease,Disease_id,Gene,Gene_id,UniProt,Gene_Full_Name,Protein_Class,N_diseases_g,DSI_g,DPI_g,pLI,Score_gda,EL_gda,EI_gda,N_PMIDs,N_SNPs_gda,First_Ref,Last_Ref
Crohn Disease,C0010346,DAP,1611,P51397,death associated protein,Enzyme modulator,144,0.53,0.808,0.0035018,0.1,,1,3,2,2015,2017
Crohn Disease,C0010346,FAM171B,165215,Q6P995,family with sequence similarity 171 member B,,6,0.89,0.077,0.48535,0.1,,1,1,1,2017,2017
Crohn Disease,C0010346,CELSR3,1951,Q9NYQ7,cadherin EGF LAG seven-pass G-type receptor 3,G-protein coupled receptor,25,0.716,0.423,0.99998,0.1,,1,1,1,2015,2015
Crohn Disease,C0010346,ELF1,1997,P32519,E74 like ETS transcription factor 1,Transcription factor,36,0.691,0.462,0.01065,0.1,,1,1,1,2013,2013
Crohn Disease,C0010346,SLC39A11,201266,Q8N1S5,solute carrier family 39 member 11,Transporter,23,0.711,0.308,2.35E-18,0.1,,1,1,1,2016,2016
Crohn Disease,C0010346,HIPK1,204851,Q86Z02,homeodomain interacting protein kinase 1,Kinase,23,0.716,0.269,1,0.1,,1,1,1,2016,2016
Crohn Disease,C0010346,ALB,213,P02768,albumin,Transporter,1198,0.317,0.962,0.64329,0.1,,1,20,1,2003,2020
Crohn Disease,C0010346,FCGR3A,2214,P08637,Fc fragment of IgG receptor IIIa,Cell adhesion,352,0.432,0.962,3.70E-06,0.1,,1,10,0,2004,2018
Crohn Disease,C0010346,JAZF1,221895,Q86VZ6,JAZF zinc finger 1,,102,0.582,0.654,0.89582,0.1,,1,3,3,2012,2016
Crohn Disease,C0010346,FEN1,2237,P39748,flap structure-specific endonuclease 1,Enzyme,113,0.55,0.731,0.000047743,0.1,,1,1,1,2017,2017
Crohn Disease,C0010346,FNDC3A,22862,Q9Y2H6,fibronectin type III domain containing 3A,,35,0.674,0.577,0.99998,0.1,,1,1,1,2016,2016
Crohn Disease,C0010346,SBNO2,22904,Q9Y2G9,strawberry notch homolog 2,Enzyme,41,0.663,0.538,0.0070655,0.1,,1,6,3,2008,2017
Crohn Disease,C0010346,FNBP1,23048,Q96RU3,formin binding protein 1,,17,0.736,0.269,0.82844,0.1,,1,1,1,2015,2015
Crohn Disease,C0010346,TAB2,23118,Q9NYJ8,TGF-beta activated kinase 1 (MAP3K7) binding protein 2,,72,0.617,0.654,0.99998,0.1,,1,1,1,2015,2015
Crohn Disease,C0010346,TBC1D9,23158,Q6ZT07,TBC1 domain family member 9,Enzyme,491,0.399,0.846,0.000028039,0.1,,0.941,17,0,2004,2017
Crohn Disease,C0010346,ADGRL2,23266,O95490,adhesion G protein-coupled receptor L2,G-protein coupled receptor,33,0.682,0.385,1,0.1,,1,1,1,2015,2015
Crohn Disease,C0010346,SLC9A8,23315,Q9Y2E8,solute carrier family 9 member A8,Transporter,16,0.736,0.5,2.91E-10,0.1,,1,1,1,2016,2016
Crohn Disease,C0010346,CRB1,23418,P82279,crumbs cell polarity complex component 1,,116,0.57,0.654,5.63E-16,0.1,,1,1,1,2015,2015
Crohn Disease,C0010346,ZBTB38,253461,Q8NAP3,zinc finger and BTB domain containing 38,Transcription factor,60,0.663,0.615,0.99949,0.1,,1,1,1,2017,2017
Crohn Disease,C0010346,PNKD,25953,Q8N490,PNKD metallo-beta-lactamase domain containing,,96,0.615,0.615,4.14E-08,0.1,,1,1,1,2015,2015
Crohn Disease,C0010346,OSBPL3,26031,Q9H4L5,oxysterol binding protein like 3,,10,0.839,0.192,0.000001585,0.1,,1,1,1,2007,2007
Crohn Disease,C0010346,GBAP1,2630,,glucosylceramidase beta pseudogene 1,,64,0.623,0.538,,0.1,,1,1,1,2016,2016
Crohn Disease,C0010346,ACAD8,27034,Q9UKU7,acyl-CoA dehydrogenase family member 8,Enzyme,203,0.506,0.885,5.64E-14,0.1,,0.959,121,0,1983,2020
Crohn Disease,C0010346,IL37,27178,Q9NZH6,interleukin 37,,280,0.459,0.846,0.00012343,0.1,,1,15,0,2006,2019
Crohn Disease,C0010346,AMT,275,P48728,aminomethyltransferase,,60,0.674,0.692,0.0027214,0.1,,1,1,2,2007,2007
Crohn Disease,C0010346,GNA12,2768,Q03113,G protein subunit alpha 12,Enzyme modulator,130,0.547,0.769,0.96994,0.1,,1,1,1,2016,2016
Crohn Disease,C0010346,FAM177A1,283635,Q8N128,family with sequence similarity 177 member A1,Enzyme,14,0.769,0.231,0.0011791,0.1,,1,1,1,2016,2016
Crohn Disease,C0010346,GPR18,2841,Q14330,G protein-coupled receptor 18,G-protein coupled receptor,18,0.769,0.269,5.35E-10,0.1,,1,1,1,2015,2015
Crohn Disease,C0010346,CAVIN1,284119,Q6NZI2,caveolae associated protein 1,Transcription factor,151,0.559,0.654,0.0049657,0.1,,1,2,2,2008,2010
Crohn Disease,C0010346,LURAP1L,286343,Q8IV03,leucine rich adaptor protein 1 like,,15,0.736,0.269,0.025029,0.1,,1,1,1,2015,2015
Crohn Disease,C0010346,GRK5,2869,P34947,G protein-coupled receptor kinase 5,Kinase,86,0.588,0.769,0.67567,0.1,,1,1,1,2007,2007
Crohn Disease,C0010346,UQCR10,29796,Q9UDW1,"ubiquinol-cytochrome c reductase, complex III subunit X",Enzyme,5,0.839,0.115,0.14162,0.1,,1,1,1,2016,2016
Crohn Disease,C0010346,APEH,327,P13798,acylaminoacyl-peptide hydrolase,Enzyme,36,0.666,0.577,5.00E-13,0.1,,1,1,2,2007,2007
Crohn Disease,C0010346,UBAC2,337867,Q8NBM4,UBA domain containing 2,,97,0.638,0.654,0.0062623,0.1,,1,1,1,2015,2015
Crohn Disease,C0010346,ICAM1,3383,P05362,intercellular adhesion molecule 1,,737,0.364,0.962,0.035295,0.1,,0.917,12,2,1995,2015
Crohn Disease,C0010346,C17orf67,339210,Q0P5P2,chromosome 17 open reading frame 67,,10,0.792,0.308,6.55E-06,0.1,,1,2,1,2015,2016
Crohn Disease,C0010346,ARMH1,339541,Q6PIY5,armadillo like helical domain containing 1,,111,0.553,0.692,0.000016479,0.1,,0.882,17,0,1998,2020
Crohn Disease,C0010346,IGHM,3507,P01871,immunoglobulin heavy constant mu,,59,0.644,0.654,,0.1,,,0,0,,
Crohn Disease,C0010346,IL1B,3553,P01584,interleukin 1 beta,,1801,0.276,0.962,0.13005,0.1,,0.931,29,0,1994,2019
Crohn Disease,C0010346,IL1RN,3557,P18510,interleukin 1 receptor antagonist,,701,0.373,0.923,0.030914,0.1,,0.958,24,1,1994,2015
Crohn Disease,C0010346,IL2,3558,P60568,interleukin 2,,950,0.336,0.885,0.47968,0.1,,0.923,13,0,1992,2019
Crohn Disease,C0010346,IL4,3565,P05112,interleukin 4,,996,0.332,0.962,0.0047372,0.1,,1,13,0,1997,2018
Crohn Disease,C0010346,CXCL8,3576,P10145,C-X-C motif chemokine ligand 8,Signaling,1254,0.31,0.962,0.00027377,0.1,,1,22,0,1994,2020
Crohn Disease,C0010346,IL9,3578,P15248,interleukin 9,,291,0.461,0.846,8.11E-07,0.1,,0.905,21,0,1998,2020
Crohn Disease,C0010346,IL17A,3605,Q16552,interleukin 17A,,1074,0.324,0.923,0.043049,0.1,,0.951,41,1,2003,2020
Crohn Disease,C0010346,IL18,3606,Q14116,interleukin 18,,750,0.365,0.923,0.030717,0.1,,1,18,3,1999,2019
Crohn Disease,C0010346,TEX9,374618,Q8N6V9,testis expressed 9,,13,0.839,0.154,6.42E-22,0.1,,1,1,1,2007,2007
Crohn Disease,C0010346,RHOA,387,P61586,ras homolog family member A,Enzyme modulator,193,0.502,0.808,0.60405,0.1,,1,1,2,2007,2007
Crohn Disease,C0010346,LINC02213,389273,,long intergenic non-protein coding RNA 2213,,5,0.839,0.115,0.012566,0.1,,1,1,1,2016,2016
Crohn Disease,C0010346,RPSA,3921,P08865,ribosomal protein SA,Nucleic acid binding,221,0.485,0.769,0.93037,0.1,,0.882,17,0,1998,2020
Crohn Disease,C0010346,C1orf141,400757,Q5JVX7,chromosome 1 open reading frame 141,,30,0.691,0.385,0.0032311,0.1,,1,10,21,2006,2019
Crohn Disease,C0010346,LINC01185,400957,,long intergenic non-protein coding RNA 1185,,13,0.743,0.346,,0.1,,1,1,1,2016,2016
Crohn Disease,C0010346,TEX41,401014,,testis expressed 41,,28,0.743,0.269,,0.1,,1,3,2,2015,2017
Crohn Disease,C0010346,LPP,4026,Q93052,LIM domain containing preferred translocation partner in lipoma,Enzyme modulator,131,0.543,0.769,0.0071908,0.1,,1,1,1,2017,2017
Crohn Disease,C0010346,LTBR,4055,P36941,lymphotoxin beta receptor,,78,0.592,0.692,0.3058,0.1,,1,2,1,2015,2017
Crohn Disease,C0010346,SMAD7,4092,O15105,SMAD family member 7,Transcription factor,269,0.47,0.769,0.54854,0.1,,0.941,17,0,2001,2019
Crohn Disease,C0010346,ARSA,410,P15289,arylsulfatase A,Enzyme,376,0.448,0.923,1.09E-11,0.1,,0.933,15,0,2015,2020
Crohn Disease,C0010346,C10orf55,414236,Q5SWW7,chromosome 10 open reading frame 55 (putative),,4,0.931,0.115,0.014376,0.1,,1,1,1,2017,2017
Crohn Disease,C0010346,MBL2,4153,P11226,mannose binding lectin 2,Receptor,563,0.39,0.846,0.0026836,0.1,,0.909,11,1,2001,2020
Crohn Disease,C0010346,IRF1-AS1,441108,Q8N8D9,IRF1 antisense RNA 1,,44,0.67,0.385,0.0041687,0.1,,1,8,8,2007,2017
Crohn Disease,C0010346,NFATC1,4772,O95644,nuclear factor of activated T cells 1,Transcription factor,161,0.517,0.731,0.15652,0.1,,1,2,1,2015,2016
Crohn Disease,C0010346,NOTCH1,4851,P46531,notch receptor 1,,693,0.369,0.885,1,0.1,,1,2,2,2015,2016
Crohn Disease,C0010346,ACO2,50,Q99798,aconitase 2,Enzyme,74,0.619,0.654,0.20791,0.1,,1,1,1,2015,2015
Crohn Disease,C0010346,DELEC1,50514,Q9P2X7,deleted in esophageal cancer 1,,92,0.573,0.692,0.000026727,0.1,,1,3,12,2005,2016
Crohn Disease,C0010346,IL22,50616,Q9GZX6,interleukin 22,,551,0.393,0.885,0.00018843,0.1,,0.95,20,0,2005,2019
Crohn Disease,C0010346,IMPG2,50939,Q9BZV3,interphotoreceptor matrix proteoglycan 2,Extracellular structure,57,0.659,0.308,2.75E-13,0.1,,1,1,1,2017,2017
Crohn Disease,C0010346,IBD5,50941,,inflammatory bowel disease 5,,21,0.705,0.538,,0.1,,0.913,46,0,2001,2012
Crohn Disease,C0010346,FOXP3,50943,Q9BZS1,forkhead box P3,,688,0.368,0.846,0.99424,0.1,,1,16,1,2005,2020
Crohn Disease,C0010346,TUBD1,51174,Q9UJT1,tubulin delta 1,Cellular structure,9,0.931,0.154,1.15E-06,0.1,,1,2,1,2015,2017
Crohn Disease,C0010346,IGF2-AS,51214,Q6U949,IGF2 antisense RNA,,65,0.612,0.615,,0.1,,1,1,1,2015,2015
Crohn Disease,C0010346,IL23A,51561,Q9NPF7,interleukin 23 subunit alpha,Signaling,427,0.415,0.846,0.35806,0.1,,0.976,41,0,2004,2020
Crohn Disease,C0010346,HDAC7,51564,Q8WUI4,histone deacetylase 7,Epigenetic regulator,77,0.597,0.654,0.99969,0.1,,1,1,1,2016,2016
Crohn Disease,C0010346,CD244,51744,Q9BZW8,CD244 molecule,,42,0.653,0.5,0.057288,0.1,,1,1,1,2010,2010
Crohn Disease,C0010346,RTEL1,51750,Q9NZ71,regulator of telomere elongation helicase 1,Enzyme,321,0.459,0.808,8.87E-10,0.1,,1,1,1,2008,2008
Crohn Disease,C0010346,ABCB1,5243,P08183,ATP binding cassette subfamily B member 1,Transporter,933,0.344,0.885,0.000012564,0.1,,0.929,28,12,1999,2019
Crohn Disease,C0010346,PLAU,5328,P00749,"plasminogen activator, urokinase",Enzyme,439,0.425,0.923,2.31E-06,0.1,,1,3,2,2015,2017
Crohn Disease,C0010346,PLCL1,5334,Q15111,phospholipase C like 1 (inactive),Enzyme,69,0.608,0.654,0.012059,0.1,,1,2,1,2010,2017
Crohn Disease,C0010346,UBASH3A,53347,P57075,ubiquitin associated and SH3 domain containing A,,43,0.638,0.538,1.05E-10,0.1,,1,1,1,2016,2016
Crohn Disease,C0010346,BCAS3,54828,Q9H6U6,BCAS3 microtubule associated cell migration factor,,44,0.716,0.538,0.00013819,0.1,,1,1,1,2007,2007
Crohn Disease,C0010346,CDKAL1,54901,Q5VV42,CDK5 regulatory subunit associated protein 1 like 1,,86,0.617,0.615,0.016021,0.1,,1,5,5,2008,2017
Crohn Disease,C0010346,INTS11,54973,Q5TA45,integrator complex subunit 11,Enzyme,9,0.805,0.192,5.99E-14,0.1,,1,1,1,2015,2015
Crohn Disease,C0010346,FAM118A,55007,Q9NWS6,family with sequence similarity 118 member A,,7,0.821,0.154,0.000063156,0.1,,1,1,1,2016,2016
Crohn Disease,C0010346,PPP2R3C,55012,Q969Q6,protein phosphatase 2 regulatory subunit B''gamma,Enzyme,49,0.7,0.538,6.82E-09,0.1,,1,1,1,2016,2016
Crohn Disease,C0010346,BANK1,55024,Q8NDB2,B cell scaffold protein with ankyrin repeats 1,,51,0.653,0.538,4.79E-12,0.1,,1,4,3,2012,2017
Crohn Disease,C0010346,RIC8B,55188,Q9NVN3,RIC8 guanine nucleotide exchange factor B,,8,0.821,0.115,0.99892,0.1,,1,1,1,2016,2016
Crohn Disease,C0010346,MIR3936HG,553103,,MIR3936 host gene,,29,0.861,0.269,,0.1,,1,1,7,2007,2007
Crohn Disease,C0010346,FERMT1,55612,Q9BQL6,fermitin family member 1,,104,0.599,0.577,2.92E-11,0.1,,1,1,1,2017,2017
Crohn Disease,C0010346,INAVA,55765,Q3KP66,innate immunity activator,,18,0.743,0.346,0.00022109,0.1,,1,4,2,2010,2017
Crohn Disease,C0010346,INKA2,55924,Q9NTI7,inka box actin regulator 2,,7,0.931,0.077,0.0079857,0.1,,1,1,1,2019,2019
Crohn Disease,C0010346,MAPK1,5594,P28482,mitogen-activated protein kinase 1,Kinase,1059,0.33,0.923,0.99698,0.1,,0.895,19,0,1998,2020
Crohn Disease,C0010346,SLAMF8,56833,Q9P0V8,SLAM family member 8,,10,0.839,0.154,0.000005341,0.1,,1,1,1,2017,2017
Crohn Disease,C0010346,CDC42SE2,56990,Q9NRR3,CDC42 small effector 2,,14,0.76,0.231,0.76835,0.1,,1,1,1,2015,2015
Crohn Disease,C0010346,LYRM4,57128,Q9HD34,LYR motif containing 4,,19,0.736,0.385,0.19951,0.1,,1,1,1,2008,2008
Crohn Disease,C0010346,PSMD7,5713,P51665,"proteasome 26S subunit, non-ATPase 7",Enzyme,114,0.551,0.692,0.26367,0.1,,0.882,17,0,1998,2020
Crohn Disease,C0010346,SEMA6A,57556,Q9H2E6,semaphorin 6A,Signaling,211,0.486,0.808,0.99976,0.1,,1,1,1,2008,2008
Crohn Disease,C0010346,SLAIN2,57606,Q9P270,SLAIN motif family member 2,,8,0.861,0.077,0.79312,0.1,,1,2,2,2012,2015
Crohn Disease,C0010346,ACTA2,59,P62736,"actin alpha 2, smooth muscle",Cellular structure,200,0.508,0.846,0.93017,0.1,,1,1,1,2016,2016
Crohn Disease,C0010346,RDX,5962,P35241,radixin,Cellular structure,80,0.593,0.615,0.85245,0.1,,1,1,2,2016,2016
Crohn Disease,C0010346,RIT1,6016,Q92963,Ras like without CAAX 1,Enzyme modulator,184,0.527,0.808,0.13281,0.1,,1,1,1,2015,2015
Crohn Disease,C0010346,BRD2,6046,P25440,bromodomain containing 2,Epigenetic regulator,303,0.45,0.808,0.99957,0.1,,1,1,1,2016,2016
Crohn Disease,C0010346,RPS6KB1,6198,P23443,ribosomal protein S6 kinase B1,Kinase,169,0.511,0.731,0.97285,0.1,,1,1,1,2016,2016
Crohn Disease,C0010346,SLC22A23,63027,A1A5C7,solute carrier family 22 member 23,Transporter,18,0.769,0.269,0.82731,0.1,,1,3,2,2008,2015
Crohn Disease,C0010346,ATXN2,6311,Q99700,ataxin 2,Nucleic acid binding,341,0.482,0.808,0.85289,0.1,,1,3,2,2015,2017
Crohn Disease,C0010346,THADA,63892,Q6YHU6,THADA armadillo repeat containing,Receptor,47,0.686,0.5,4.62E-41,0.1,,1,4,2,2010,2017
Crohn Disease,C0010346,GAL3ST2,64090,Q9H3Q3,galactose-3-O-sulfotransferase 2,,8,0.805,0.192,2.93E-11,0.1,,1,2,1,2015,2016
Crohn Disease,C0010346,TMBIM1,64114,Q969X1,transmembrane BAX inhibitor motif containing 1,,30,0.711,0.154,1.36E-08,0.1,,1,1,1,2015,2015
Crohn Disease,C0010346,IFIH1,64135,Q9BYX4,interferon induced with helicase C domain 1,,319,0.471,0.808,6.98E-44,0.1,,1,1,3,2016,2016
Crohn Disease,C0010346,TRAF3IP2-AS1,643749,,TRAF3IP2 antisense RNA 1,,11,0.792,0.154,,0.1,,1,1,1,2015,2015
Crohn Disease,C0010346,NOS2P1,645740,,nitric oxide synthase 2 pseudogene 1,,1,1,0.038,,0.1,,1,1,1,2007,2007
Crohn Disease,C0010346,LINC00598,646982,,long intergenic non-protein coding RNA 598,,24,0.743,0.192,,0.1,,1,2,3,2015,2016
Crohn Disease,C0010346,CRTC3,64784,Q6UUV7,CREB regulated transcription coactivator 3,Transcription factor,27,0.705,0.269,0.86585,0.1,,1,1,1,2015,2015
Crohn Disease,C0010346,SCARNA5,677775,,small Cajal body-specific RNA 5,,1,1,0.038,,0.1,,1,2,5,2010,2013
Crohn Disease,C0010346,STK11,6794,Q15831,serine/threonine kinase 11,Kinase,372,0.435,0.808,0.9934,0.1,,1,1,1,2016,2016
Crohn Disease,C0010346,SUOX,6821,P51687,sulfite oxidase,,67,0.638,0.615,9.40E-07,0.1,,1,1,1,2015,2015
Crohn Disease,C0010346,TCTA,6988,P57738,T cell leukemia translocation altered,,4,0.861,0.231,0.00046337,0.1,,1,2,2,2007,2008
Crohn Disease,C0010346,TGFB1,7040,P01137,transforming growth factor beta 1,Signaling,1558,0.287,0.962,0.03685,0.1,,1,20,0,1996,2018
Crohn Disease,C0010346,TLR5,7100,O60602,toll like receptor 5,,163,0.518,0.885,2.48E-13,0.1,,0.9,10,1,2006,2018
Crohn Disease,C0010346,TNFRSF1B,7133,P20333,TNF receptor superfamily member 1B,,417,0.425,0.885,0.50201,0.1,,1,10,1,2000,2019
Crohn Disease,C0010346,TP53,7157,P04637,tumor protein p53,Transcription factor,2494,0.236,0.962,0.53235,0.1,,1,10,1,1994,2018
Crohn Disease,C0010346,TPMT,7172,P51580,thiopurine S-methyltransferase,,83,0.593,0.692,7.11E-06,0.1,,1,12,1,2000,2017
Crohn Disease,C0010346,INS-IGF2,723961,F8WCM5,INS-IGF2 readthrough,,51,0.633,0.5,0.055811,0.1,,1,1,1,2015,2015
Crohn Disease,C0010346,VDR,7421,P11473,vitamin D receptor,Nuclear receptor,852,0.352,0.885,0.000016787,0.1,,0.944,18,1,2000,2019
Crohn Disease,C0010346,MYRF,745,Q9Y2G1,myelin regulatory factor,,102,0.584,0.731,1,0.1,,1,2,2,2015,2016
Crohn Disease,C0010346,TMEM258,746,P61165,transmembrane protein 258,,63,0.644,0.654,0.0018504,0.1,,1,3,3,2010,2016
Crohn Disease,C0010346,ALDH5A1,7915,P51649,aldehyde dehydrogenase 5 family member A1,Enzyme,83,0.619,0.462,3.05E-07,0.1,,1,1,1,2019,2019
Crohn Disease,C0010346,ANKRD55,79722,Q3KP44,ankyrin repeat domain 55,,46,0.65,0.462,6.76E-08,0.1,,1,4,3,2012,2016
Crohn Disease,C0010346,CPEB4,80315,Q17RY0,cytoplasmic polyadenylation element binding protein 4,Nucleic acid binding,70,0.621,0.462,0.98555,0.1,,1,3,3,2012,2016
Crohn Disease,C0010346,VWA7,80737,Q9Y334,von Willebrand factor A domain containing 7,,6,0.839,0.308,2.31E-11,0.1,,1,1,1,2017,2017
Crohn Disease,C0010346,NDFIP1,80762,Q9BT67,Nedd4 family interacting protein 1,,29,0.716,0.462,0.97747,0.1,,1,3,1,2015,2017
Crohn Disease,C0010346,TSPAN14,81619,Q8NG11,tetraspanin 14,,13,0.78,0.231,0.97908,0.1,,1,3,2,2015,2017
Crohn Disease,C0010346,GATD3A,8209,A0A0B4J2D5;P0DPI2,glutamine amidotransferase like class 1 domain containing 3A,,58,0.619,0.654,0.000029727,0.1,,1,5,5,2008,2017
Crohn Disease,C0010346,KIAA1109,84162,Q2LD37,KIAA1109,,86,0.603,0.654,3.26E-21,0.1,,1,1,2,2015,2015
Crohn Disease,C0010346,NICN1,84276,Q9BSH3,nicolin 1,,2,0.931,0.154,0.038834,0.1,,1,1,1,2007,2007
Crohn Disease,C0010346,CUL1,8454,Q13616,cullin 1,Enzyme,58,0.617,0.615,1,0.1,,1,1,1,2017,2017
Crohn Disease,C0010346,ZGPAT,84619,Q8N5A5,zinc finger CCCH-type and G-patch domain containing,,54,0.653,0.654,0.00038328,0.1,,1,2,3,2010,2015
Crohn Disease,C0010346,GPR65,8477,Q8IYL9,G protein-coupled receptor 65,G-protein coupled receptor,47,0.653,0.5,0.1114,0.1,,1,3,1,2010,2017
Crohn Disease,C0010346,NKD1,85407,Q969G9,NKD inhibitor of WNT signaling pathway 1,,58,0.621,0.385,0.99344,0.1,,1,2,10,2007,2015
Crohn Disease,C0010346,DOCK7,85440,Q96N67,dedicator of cytokinesis 7,Enzyme modulator,51,0.682,0.423,0.000006358,0.1,,1,1,1,2015,2015
Crohn Disease,C0010346,TP63,8626,Q9H3D4,tumor protein p63,Transcription factor,816,0.362,0.769,0.99728,0.1,,0.882,17,0,1998,2020
Crohn Disease,C0010346,IL18R1,8809,Q13478,interleukin 18 receptor 1,Receptor,234,0.473,0.808,0.000008625,0.1,,1,2,3,2016,2017
Crohn Disease,C0010346,KSR1,8844,Q8IVT5,kinase suppressor of ras 1,Kinase,42,0.666,0.346,0.069796,0.1,,1,4,2,2012,2017
Crohn Disease,C0010346,ASAP2,8853,O43150,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 2",,85,0.585,0.731,0.99996,0.1,,1,1,1,2016,2016
Crohn Disease,C0010346,NR1I2,8856,O75469,nuclear receptor subfamily 1 group I member 2,Nuclear receptor,462,0.418,0.846,7.27E-09,0.1,,1,10,10,2004,2019
Crohn Disease,C0010346,SKAP2,8935,O75563,src kinase associated phosphoprotein 2,,49,0.653,0.577,0.0012836,0.1,,1,3,2,2012,2016
Crohn Disease,C0010346,CCND3,896,P30281,cyclin D3,Enzyme modulator,126,0.554,0.654,0.98347,0.1,,1,1,1,2017,2017
Crohn Disease,C0010346,UBE3D,90025,Q7Z6J8,ubiquitin protein ligase E3D,,6,0.839,0.115,5.98E-07,0.1,,1,1,1,2016,2016
Crohn Disease,C0010346,ANKRD30A,91074,Q9BXX3,ankyrin repeat domain 30A,,36,0.678,0.346,2.69E-45,0.1,,1,1,1,2015,2015
Crohn Disease,C0010346,FIBP,9158,O43427,FGF1 intracellular binding protein,,39,0.674,0.538,4.39E-06,0.1,,1,2,1,2015,2016
Crohn Disease,C0010346,OSMR,9180,Q99650,oncostatin M receptor,Signaling,77,0.599,0.577,9.21E-18,0.1,,1,3,1,2015,2017
Crohn Disease,C0010346,ARHGEF2,9181,Q92974,Rho/Rac guanine nucleotide exchange factor 2,,205,0.502,0.769,1,0.1,,0.895,19,0,1998,2020
Crohn Disease,C0010346,RFT1,91869,Q96AA3,RFT1 homolog,,60,0.7,0.5,3.74E-13,0.1,,1,1,1,2017,2017
Crohn Disease,C0010346,MAGI1,9223,Q96QZ7,"membrane associated guanylate kinase, WW and PDZ domain containing 1",,66,0.628,0.615,0.5597,0.1,,1,1,1,2015,2015
Crohn Disease,C0010346,DLG5,9231,Q8TDM6,discs large MAGUK scaffold protein 5,,36,0.686,0.5,0.99948,0.1,,0.885,26,5,2004,2018
Crohn Disease,C0010346,CD14,929,P08571,CD14 molecule,,551,0.392,0.885,0.000048813,0.1,,0.875,24,1,2002,2020
Crohn Disease,C0010346,TNFSF8,944,P32971,TNF superfamily member 8,,62,0.61,0.538,0.75809,0.1,,1,2,8,2005,2013
Crohn Disease,C0010346,LITAF,9516,Q99732,lipopolysaccharide induced TNF factor,Transcription factor,59,0.65,0.462,0.030752,0.1,,1,1,1,2015,2015
Crohn Disease,C0010346,NPEPPS,9520,P55786,aminopeptidase puromycin sensitive,Enzyme,172,0.519,0.808,1,0.1,,1,1,1,2016,2016
Crohn Disease,C0010346,CLCA2,9635,Q9UQC9,chloride channel accessory 2,Ion channel,36,0.686,0.423,1.47E-28,0.1,,1,1,1,2015,2015
Crohn Disease,C0010346,SETD1A,9739,O15047,"SET domain containing 1A, histone lysine methyltransferase",,68,0.619,0.615,1,0.1,,1,1,1,2016,2016
Crohn Disease,C0010346,KEAP1,9817,Q14145,kelch like ECH associated protein 1,,251,0.475,0.808,0.00038766,0.1,,1,1,1,2016,2016
Crohn Disease,C0010346,CARD8,22900,Q9Y2G2,caspase recruitment domain family member 8,,78,0.59,0.731,1.77E-06,0.09,,1,9,3,2006,2018
Crohn Disease,C0010346,GP2,2813,P55259,glycoprotein 2,,36,0.67,0.5,1.68E-21,0.09,,1,9,0,2009,2019
Crohn Disease,C0010346,CEACAM6,4680,P40199,CEA cell adhesion molecule 6,,110,0.561,0.731,1.19E-06,0.09,,0.889,9,0,2007,2020
Crohn Disease,C0010346,HLA-C,3107,P10321,"major histocompatibility complex, class I, C",,435,0.415,0.846,1.57E-06,0.08,,1,8,0,2009,2016
Crohn Disease,C0010346,XIAP,331,P98170,X-linked inhibitor of apoptosis,Enzyme modulator,321,0.447,0.808,0.91837,0.08,,0.875,8,0,2011,2018
Crohn Disease,C0010346,IL1A,3552,P01583,interleukin 1 alpha,,1002,0.333,0.962,0.0001602,0.08,,1,8,0,1996,2019
Crohn Disease,C0010346,IL13,3596,P35225,interleukin 13,,587,0.386,0.846,0.014426,0.08,,1,8,0,1997,2019
Crohn Disease,C0010346,LCN2,3934,P80188,lipocalin 2,Enzyme,497,0.405,0.885,1.14E-09,0.08,,1,8,0,2007,2019
Crohn Disease,C0010346,LTA,4049,P01374,lymphotoxin alpha,Signaling,353,0.434,0.885,0.19685,0.08,,1,8,3,1995,2019
Crohn Disease,C0010346,MEFV,4210,O15553,"MEFV innate immuity regulator, pyrin",,410,0.44,0.885,1.02E-14,0.08,,1,8,3,2005,2019
Crohn Disease,C0010346,MMP3,4314,P08254,matrix metallopeptidase 3,Enzyme,473,0.408,0.885,5.74E-15,0.08,,1,8,0,2000,2010
Crohn Disease,C0010346,MYDGF,56005,Q969H8,myeloid derived growth factor,,295,0.451,0.846,3.49E-06,0.08,,1,8,0,2003,2017
Crohn Disease,C0010346,PTGS2,5743,P35354,prostaglandin-endoperoxide synthase 2,Enzyme,1234,0.314,0.962,0.99597,0.08,,1,8,3,1998,2019
Crohn Disease,C0010346,BPI,671,P17213,bactericidal permeability increasing protein,,83,0.61,0.769,1.65E-14,0.08,,0.875,8,1,1999,2017
Crohn Disease,C0010346,TLR2,7097,O60603,toll like receptor 2,,749,0.361,0.923,1.02E-06,0.08,,0.875,8,2,2004,2019
Crohn Disease,C0010346,DEFB4B,100289462,O15263,defensin beta 4B,,166,0.51,0.769,0.067977,0.07,,1,7,0,2006,2018
Crohn Disease,C0010346,CCR6,1235,P51684,C-C motif chemokine receptor 6,G-protein coupled receptor,231,0.485,0.808,0.0057867,0.07,,1,7,0,2009,2017
Crohn Disease,C0010346,RBM45,129831,Q8IUH3,RNA binding motif protein 45,,557,0.383,0.846,2.11E-10,0.07,,0.857,7,0,1995,2011
Crohn Disease,C0010346,DEFB4A,1673,O15263,defensin beta 4A,,177,0.507,0.769,0.0011637,0.07,,1,7,0,2006,2018
