Disease,Ensembl Gene ID,Gene,Chromosome,Start Position,Stop Position,AE TWAS,Standard TWAS,DisGeNet GDA Score
SCZ,ENSG00000162572.20,SCNN1D,1,1280436,1292029,2.76E-02,2.16E-02,NA
SCZ,ENSG00000162585.16,FAAP20,1,2184461,2212720,4.42E-02,4.16E-02,NA
SCZ,ENSG00000162601.9,MYSM1,1,58654739,58700092,3.59E-02,2.99E-02,NA
SCZ,ENSG00000162604.12,TM2D1,1,61681046,61725423, NA,2.07E-02,NA
SCZ,ENSG00000162607.12,USP1,1,62436297,62451804, NA,2.78E-02,NA
SCZ,ENSG00000162623.15,TYW3,1,74733409,74766678,2.27E-02,1.86E-02,NA
SCZ,ENSG00000162852.13,CNST,1,246566444,246668584,9.00E-03,7.97E-03,NA
SCZ,ENSG00000162924.13,REL,2,60881521,60925908,2.01E-02,3.53E-02,NA
SCZ,ENSG00000162928.8,PEX13,2,61017225,61051990, NA,3.64E-02,NA
SCZ,ENSG00000162971.10,TYW5,2,199929975,199948472,2.76E-03, NA,NA
SCZ,ENSG00000163412.12,EIF4E3,3,71675416,71753624,2.42E-02, NA,NA
SCZ,ENSG00000163728.10,TTC14,3,180602130,180617828,4.67E-02, NA,NA
SCZ,ENSG00000163754.17,GYG1,3,148991341,149027668, NA,4.87E-02,NA
SCZ,ENSG00000164022.16,AIMP1,4,106315544,106349226,4.03E-02, NA,NA
SCZ,ENSG00000164023.14,SGMS2,4,107824563,107915047,4.66E-16, NA,NA
SCZ,ENSG00000164086.9,DUSP7,3,52048919,52056550,1.61E-02,1.23E-02,NA
SCZ,ENSG00000164088.17,PPM1M,3,52245793,52250597,3.36E-02, NA,NA
SCZ,ENSG00000164163.10,ABCE1,4,145098217,145129179,2.43E-02,3.81E-02,NA
SCZ,ENSG00000164251.4,F2RL1,5,76818933,76835315, NA,1.62E-11,NA
SCZ,ENSG00000164815.10,ORC5,7,104126341,104208047, NA,4.16E-02,NA
SCZ,ENSG00000164919.10,COX6C,8,99873200,99894062,1.27E-02,2.53E-02,NA
SCZ,ENSG00000164967.9,RPP25L,9,34610486,34612104, NA,1.36E-04,NA
SCZ,ENSG00000164970.14,FAM219A,9,34398184,34458570, NA,1.87E-03,NA
SCZ,ENSG00000165458.13,INPPL1,11,72223701,72239076,2.36E-05,2.19E-03,NA
SCZ,ENSG00000165476.13,REEP3,10,63521363,63625123,9.55E-03,3.42E-03,NA
SCZ,ENSG00000166471.10,TMEM41B,11,9280654,9314780, NA,4.59E-04,NA
SCZ,ENSG00000166478.9,ZNF143,11,9460703,9528524, NA,2.22E-06,NA
SCZ,ENSG00000166501.12,PRKCB,16,23836001,24220611,2.99E-03, NA,NA
SCZ,ENSG00000166507.17,NDST2,10,73801911,73811798, NA,4.01E-02,NA
SCZ,ENSG00000166788.9,SAAL1,11,18069935,18106091,3.61E-02,1.24E-02,NA
SCZ,ENSG00000167196.13,FBXO22,15,75903859,75940935,4.60E-02,1.78E-02,NA
SCZ,ENSG00000167702.11,KIFC2,8,144466043,144473411, NA,3.25E-02,NA
SCZ,ENSG00000167965.17,MLST8,16,2204248,2209252,3.72E-03,2.06E-03,NA
SCZ,ENSG00000167967.15,E4F1,16,2223566,2235688,4.23E-02,4.45E-02,NA
SCZ,ENSG00000167972.13,ABCA3,16,2275881,2340746,3.47E-02,2.78E-02,NA
SCZ,ENSG00000168056.15,LTBP3,11,65538805,65558930,3.29E-02,4.28E-02,NA
SCZ,ENSG00000168397.16,ATG4B,2,241637450,241673857, NA,3.81E-02,NA
SCZ,ENSG00000168612.4,ZSWIM1,20,45881227,45885266, NA,3.53E-02,NA
SCZ,ENSG00000169220.17,RGS14,5,177357837,177372601, NA,2.51E-02,NA
SCZ,ENSG00000169221.13,TBC1D10B,16,30357105,30370264,4.93E-02, NA,NA
SCZ,ENSG00000169583.12,CLIC3,9,136994635,136996803, NA,4.94E-02,NA
SCZ,ENSG00000169871.12,TRIM56,7,101085439,101097967,4.32E-04, NA,NA
SCZ,ENSG00000170581.13,STAT2,12,56341597,56360126,9.63E-03, NA,NA
SCZ,ENSG00000171466.9,ZNF562,19,9641808,9675086, NA,3.82E-02,NA
SCZ,ENSG00000171475.13,WIPF2,17,40219304,40284136, NA,4.09E-02,NA
SCZ,ENSG00000171530.13,TBCA,5,77691166,77868780,2.11E-02, NA,NA
SCZ,ENSG00000171953.15,ATPAF2,17,17977409,18039209,1.75E-02,5.51E-03,NA
SCZ,ENSG00000172794.19,RAB37,17,74670578,74747318, NA,4.40E-02,NA
SCZ,ENSG00000172890.11,NADSYN1,11,71453109,71524107,3.33E-06, NA,NA
SCZ,ENSG00000172992.11,DCAKD,17,45023340,45061109,7.17E-10,7.01E-07,NA
SCZ,ENSG00000173163.10,COMMD1,2,61888805,62147247,1.81E-02,7.21E-03,NA
SCZ,ENSG00000174428.16,GTF2IRD2B,7,75092573,75149817,7.64E-03,2.32E-02,NA
SCZ,ENSG00000174917.8,C19orf70,19,5678421,5680603,4.67E-02,4.28E-02,NA
SCZ,ENSG00000175573.6,C11orf68,11,65916808,65919117,3.21E-02, NA,NA
SCZ,ENSG00000176022.4,B3GALT6,1,1232265,1235041,3.34E-02,2.53E-02,NA
SCZ,ENSG00000176024.17,ZNF613,19,51927147,51948759, NA,6.18E-03,NA
SCZ,ENSG00000176915.14,ANKLE2,12,132725503,132761888,1.22E-02, NA,NA
SCZ,ENSG00000176978.13,DPP7,9,137110542,137115177,2.94E-02, NA,NA
SCZ,ENSG00000177054.13,ZDHHC13,11,19117099,19176415,2.12E-02, NA,NA
SCZ,ENSG00000178028.13,DMAP1,1,44213455,44220681,4.78E-02, NA,NA
SCZ,ENSG00000178814.16,OPLAH,8,144051729,144063965,4.12E-02,1.48E-02,NA
SCZ,ENSG00000178950.16,GAK,4,849277,932373,1.79E-02,2.05E-02,NA
SCZ,ENSG00000179119.14,SPTY2D1,11,18606401,18634791,2.12E-02, NA,NA
SCZ,ENSG00000179335.18,CLK3,15,74598500,74645414, NA,4.70E-02,NA
SCZ,ENSG00000179743.4,FLJ37453,1,15834474,15836906, NA,3.59E-02,NA
SCZ,ENSG00000180098.9,TRNAU1AP,1,28553085,28578537, NA,4.08E-04,NA
SCZ,ENSG00000180257.13,ZNF816,19,52949379,52962911,2.99E-02, NA,NA
SCZ,ENSG00000180539.7,C9orf139,9,137027464,137037957,4.95E-02, NA,NA
SCZ,ENSG00000181915.4,ADO,10,62804857,62808483,6.61E-03,7.95E-03,NA
SCZ,ENSG00000182179.12,UBA7,3,49805207,49813946, NA,1.36E-02,NA
SCZ,ENSG00000182873.5,PRKCZ-AS1,1,2181794,2184389,1.47E-04,3.10E-03,NA
SCZ,ENSG00000182919.14,C11orf54,11,93741963,93764749, NA,2.56E-02,NA
SCZ,ENSG00000183307.3,CECR6,22,17116299,17121367, NA,2.63E-02,NA
SCZ,ENSG00000183431.11,SF3A3,1,37956975,37990921, NA,2.11E-03,NA
SCZ,ENSG00000183576.12,SETD3,14,99397746,99480889,9.78E-04,5.79E-04,NA
SCZ,ENSG00000184209.14,SNRNP35,12,123457641,123473154,6.15E-05, NA,NA
SCZ,ENSG00000184752.12,NDUFA12,12,94897055,95003770,1.36E-02,2.50E-02,NA
SCZ,ENSG00000184922.13,FMNL1,17,45222223,45247266,1.71E-19,3.50E-14,NA
SCZ,ENSG00000185261.14,KIAA0825,5,94152966,94582583, NA,2.78E-02,NA
SCZ,ENSG00000185651.14,UBE2L3,22,21567547,21624034,4.54E-02,4.16E-02,NA
SCZ,ENSG00000186088.15,GSAP,7,77310751,77416400, NA,1.96E-02,NA
SCZ,ENSG00000186174.12,BCL9L,11,118897800,118925608,3.43E-02,3.17E-02,NA
SCZ,ENSG00000186185.13,KIF18B,17,44924709,44947711,2.53E-05, NA,NA
SCZ,ENSG00000186635.14,ARAP1,11,72685069,72752403, NA,1.48E-03,NA
SCZ,ENSG00000186827.10,TNFRSF4,1,1211326,1214132, NA,4.23E-02,NA
SCZ,ENSG00000187961.13,KLHL17,1,960587,965715,9.37E-03,1.69E-03,NA
SCZ,ENSG00000188186.10,LAMTOR4,7,100148907,100155944,4.03E-02,2.75E-02,NA
SCZ,ENSG00000188313.12,PLSCR1,3,146515180,146544864, NA,4.58E-04,NA
SCZ,ENSG00000188599.17,NPIPP1,16,15104312,15123498, NA,3.81E-02,NA
SCZ,ENSG00000188976.10,NOC2L,1,944582,959309,8.87E-03,1.23E-02,NA
SCZ,ENSG00000189190.9,ZNF600,19,52764195,52786791,3.74E-02, NA,NA
SCZ,ENSG00000196214.10,ZNF766,19,52269571,52296046,2.48E-02, NA,NA
SCZ,ENSG00000196235.13,SUPT5H,19,39436156,39476670,6.06E-04,2.82E-04,NA
SCZ,ENSG00000196313.11,POM121,7,72879365,72951440,1.61E-03,1.69E-03,NA
SCZ,ENSG00000196531.10,NACA,12,56712428,56731595,3.71E-02,4.28E-02,NA
SCZ,ENSG00000196812.4,ZSCAN16,6,28124560,28130082, NA,8.63E-04,NA
SCZ,ENSG00000197062.11,ZSCAN26,6,28267010,28278224, NA,3.20E-04,NA
SCZ,ENSG00000197142.10,ACSL5,10,112374018,112428380,1.02E-03,4.39E-03,NA
SCZ,ENSG00000197608.11,ZNF841,19,52064466,52095765,4.78E-02, NA,NA
SCZ,ENSG00000197961.11,ZNF121,19,9560353,9584533,1.79E-02,1.36E-02,NA
SCZ,ENSG00000198056.13,PRIM1,12,56731629,56752373,1.42E-04,7.23E-05,NA
SCZ,ENSG00000198131.13,ZNF544,19,58228594,58277495,2.30E-02,1.90E-02,NA
SCZ,ENSG00000198146.4,ZNF770,15,34978341,34988287,2.17E-02,1.67E-02,NA
SCZ,ENSG00000198315.10,ZKSCAN8,6,28141910,28159472,8.24E-04,5.62E-04,NA
SCZ,ENSG00000198482.11,ZNF808,19,52527652,52564464,1.22E-02,4.12E-02,NA
SCZ,ENSG00000198492.15,YTHDF2,1,28736621,28769775,5.02E-05,1.09E-04,NA
SCZ,ENSG00000198730.7,CTR9,11,10750987,10779743, NA,4.16E-02,NA
SCZ,ENSG00000198740.8,ZNF652,17,49289206,49362116, NA,4.67E-03,NA
SCZ,ENSG00000204348.9,DXO,6,31969810,31972292, NA,4.79E-02,NA
SCZ,ENSG00000204475.9,NCR3,6,31588910,31592985,4.44E-03,1.13E-02,NA
SCZ,ENSG00000204498.10,NFKBIL1,6,31546870,31558829,9.55E-03,3.95E-02,NA
SCZ,ENSG00000204560.9,DHX16,6,30653211,30673037,1.51E-03,1.64E-02,NA
SCZ,ENSG00000204564.11,C6orf136,6,30647039,30653118,2.61E-04,5.48E-04,NA
SCZ,ENSG00000204568.11,MRPS18B,6,30617709,30626395,1.45E-03,2.15E-03,NA
SCZ,ENSG00000204576.11,PRR3,6,30557175,30563723,5.47E-03,7.95E-03,NA
SCZ,ENSG00000204590.12,GNL1,6,30541377,30556885,1.99E-02,3.28E-02,NA
SCZ,ENSG00000204599.14,TRIM39,6,30327259,30343729, NA,5.61E-03,NA
SCZ,ENSG00000204619.7,PPP1R11,6,30066709,30070265,4.83E-02, NA,NA
SCZ,ENSG00000205476.8,CCDC85C,14,99500180,99604026,4.63E-02, NA,NA
SCZ,ENSG00000205937.11,RNPS1,16,2253116,2268412,1.45E-02,1.45E-02,NA
SCZ,ENSG00000205981.6,DNAJC19,3,180983709,180989769,2.11E-02,1.80E-02,NA
SCZ,ENSG00000211679.2,IGLC3,22,22906342,22906803, NA,2.49E-03,NA
SCZ,ENSG00000211893.3,IGHG2,14,105643052,105644790,1.69E-08, NA,NA
SCZ,ENSG00000211895.4,IGHA1,14,105707118,105708665,8.09E-12, NA,NA
SCZ,ENSG00000211899.9,IGHM,14,105851708,105856218,1.68E-06, NA,NA
SCZ,ENSG00000211900.2,IGHJ6,14,105863198,105863258,2.45E-08, NA,NA
SCZ,ENSG00000211904.2,IGHJ2,14,105865199,105865250,4.54E-08, NA,NA
SCZ,ENSG00000211933.2,IGHV6-1,14,105939756,105940253,4.08E-04, NA,NA
SCZ,ENSG00000213780.10,GTF2H4,6,30908184,30914106,1.02E-02,3.06E-02,NA
SCZ,ENSG00000219626.8,FAM228B,2,24076526,24169640,3.09E-02, NA,NA
SCZ,ENSG00000223705.9,NSUN5P1,7,75410322,75416787,7.17E-09,8.99E-08,NA
SCZ,ENSG00000224745.1,RP11-380G5.2,10,87878692,87880427,2.27E-03,3.58E-03,NA
SCZ,ENSG00000224870.6,RP4-758J18.2,1,1399522,1401907,4.67E-02,4.92E-02,NA
SCZ,ENSG00000225190.10,PLEKHM1,17,45435900,45490749, NA,4.48E-04,NA
SCZ,ENSG00000225313.5,RP11-415J8.3,1,33313324,33349245, NA,5.92E-03,NA
SCZ,ENSG00000225648.5,SBDSP1,7,72829425,72836701,4.95E-02, NA,NA
SCZ,ENSG00000226232.8,NPIPB14P,16,69976388,69996188, NA,2.63E-02,NA
SCZ,ENSG00000227671.4,RP11-488L18.4,1,247189851,247209493,1.05E-02,4.26E-02,NA
SCZ,ENSG00000229117.8,RPL41,12,56116586,56117943,4.44E-03, NA,NA
SCZ,ENSG00000229180.6,GS1-124K5.12,7,66526088,66592397,3.96E-03,4.22E-04,NA
SCZ,ENSG00000230989.6,HSBP1,16,83807843,83819737,3.48E-02, NA,NA
SCZ,ENSG00000232815.1,DUX4L50,9,63817748,63818462,1.02E-06, NA,NA
SCZ,ENSG00000233927.4,RPS28,19,8321500,8323314,1.22E-02,1.23E-03,NA
SCZ,ENSG00000237522.1,NONOP2,2,60936819,60938049, NA,1.48E-02,NA
SCZ,ENSG00000238113.6,LINC01410,9,62801461,62813486,1.81E-02, NA,NA
SCZ,ENSG00000240041.1,IGHJ4,14,105864215,105864260,1.36E-08, NA,NA
SCZ,ENSG00000241258.6,CRCP,7,66114604,66154568,8.48E-05,2.23E-04,NA
SCZ,ENSG00000242472.1,IGHJ5,14,105863814,105863862,1.10E-08, NA,NA
SCZ,ENSG00000242802.6,AP5Z1,7,4775622,4791768, NA,4.28E-02,NA
SCZ,ENSG00000242887.1,IGHJ3,14,105864587,105864635,4.61E-08, NA,NA
SCZ,ENSG00000243646.9,IL10RB,21,33266358,33310187,4.14E-02, NA,NA
SCZ,ENSG00000243678.11,NME2,17,51165435,51171747, NA,3.06E-02,NA
SCZ,ENSG00000251259.1,AC004069.2,4,105137280,105140619, NA,4.71E-03,NA
SCZ,ENSG00000253755.1,IGHGP,14,105664633,105669843,6.65E-15, NA,NA
SCZ,ENSG00000254685.6,FPGT,1,74198212,74234086, NA,1.21E-02,NA
SCZ,ENSG00000256087.6,ZNF432,19,52031379,52049006,4.18E-02, NA,NA
SCZ,ENSG00000259865.1,RP11-488L18.10,1,247187281,247188526, NA,2.55E-05,NA
SCZ,ENSG00000261468.1,RP11-1024P17.1,3,30697661,30699576,3.32E-02, NA,NA
SCZ,ENSG00000261490.1,RP11-448G15.3,4,10068089,10073019,9.71E-03, NA,NA
SCZ,ENSG00000262766.1,RP11-196G11.4,16,31118078,31118747, NA,6.38E-03,NA
SCZ,ENSG00000263001.5,GTF2I,7,74657667,74760692,2.99E-03,2.15E-03,NA
SCZ,ENSG00000263072.6,ZNF213-AS1,16,3110460,3134882, NA,4.80E-02,NA
SCZ,ENSG00000265666.1,RARA-AS1,17,40340867,40343136, NA,3.08E-03,NA
SCZ,ENSG00000267121.5,CTD-2020K17.1,17,45190931,45221788,6.65E-07,3.74E-03,NA
SCZ,ENSG00000267283.1,AC005306.3,19,1989401,1990203,2.27E-02, NA,NA
SCZ,ENSG00000267344.1,CTB-39G8.3,17,45397025,45397477, NA,1.35E-03,NA
SCZ,ENSG00000269713.7,NBPF9,1,149054027,149103561,2.96E-05,7.17E-06,NA
SCZ,ENSG00000272391.5,POM121C,7,75416790,75486271,6.18E-03,9.10E-05,NA
SCZ,ENSG00000273253.2,RP3-402G11.26,22,50200076,50200837, NA,2.15E-03,NA
SCZ,ENSG00000273841.4,TAF9,5,69364743,69369642,3.76E-05, NA,NA
SCZ,ENSG00000274523.4,RCC1L,7,75027122,75074228,2.33E-06,8.83E-06,NA
SCZ,ENSG00000275074.1,NUDT18,8,22106872,22109419, NA,3.31E-02,NA
SCZ,ENSG00000275342.4,PRAG1,8,8317736,8386498,4.23E-02, NA,NA
SCZ,ENSG00000277072.4,STAG3L2,7,74882163,74890610,6.36E-05,2.40E-03,NA
SCZ,ENSG00000278129.1,ZNF8,19,58278951,58302805, NA,3.02E-02,NA
SCZ,ENSG00000278869.1,CITF22-49E9.3,22,49933198,49934074, NA,2.16E-02,NA
SCZ,ENSG00000279789.1,CTD-2574D22.3,16,29913144,29915337,1.36E-02, NA,NA
SCZ,ENSG00000280143.1,AP000892.6,11,117206357,117210292, NA,5.92E-03,NA
SCZ,ENSG00000280832.1,ST3GAL4-AS1,11,126340889,126355587,4.03E-02, NA,NA
SCZ,ENSG00000281005.1,LINC00921,16,3263743,3267567,4.75E-02, NA,NA
SCZ,ENSG00000281162.2,LINC01127,2,101962056,101987167,1.36E-02, NA,NA
