Disease,Disease_id,Gene,Gene_id,UniProt,Gene_Full_Name,Protein_Class,N_diseases_g,DSI_g,DPI_g,pLI,Score_gda,EL_gda,EI_gda,N_PMIDs,N_SNPs_gda,First_Ref,Last_Ref
"Diabetes Mellitus, Insulin-Dependent",C0011854,BCL2,596,P10415,BCL2 apoptosis regulator,Signaling,1456,0.291,0.885,0.55903,0.1,,0.917,12,1,1995,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,REN,5972,P00797,renin,Enzyme,721,0.37,0.923,2.4297E-07,0.1,,0.92,25,0,1996,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,EDA2R,60401,Q9HAV5,ectodysplasin A2 receptor,,24,0.736,0.423,0.00054689,0.1,,,0,0,,
"Diabetes Mellitus, Insulin-Dependent",C0011854,RNF5,6048,Q99942,ring finger protein 5,Enzyme,28,0.716,0.538,0.000036989,0.1,,1,1,2,2007,2007
"Diabetes Mellitus, Insulin-Dependent",C0011854,HPSE2,60495,Q8WWQ2,heparanase 2 (inactive),Enzyme,81,0.588,0.692,0.00015083,0.1,,1,1,1,2011,2011
"Diabetes Mellitus, Insulin-Dependent",C0011854,ATXN2,6311,Q99700,ataxin 2,Nucleic acid binding,341,0.482,0.808,0.85289,0.1,,1,5,2,2009,2018
"Diabetes Mellitus, Insulin-Dependent",C0011854,CXCL12,6387,P48061,C-X-C motif chemokine ligand 12,,626,0.379,0.846,0.11851,0.1,,0.9,10,0,2001,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,GPSM3,63940,Q9Y4H4,G protein signaling modulator 3,,17,0.751,0.423,0.28641,0.1,,1,1,3,2007,2007
"Diabetes Mellitus, Insulin-Dependent",C0011854,CARD9,64170,Q9H257,caspase recruitment domain family member 9,,103,0.566,0.654,8.1491E-13,0.1,,1,1,1,2015,2015
"Diabetes Mellitus, Insulin-Dependent",C0011854,HLA-DPA2,646702,,"major histocompatibility complex, class II, DP alpha 2 (pseudogene)",,10,0.78,0.538,,0.1,,1,1,2,2007,2007
"Diabetes Mellitus, Insulin-Dependent",C0011854,SKIV2L,6499,Q15477,Ski2 like RNA helicase,,96,0.615,0.654,1.2931E-22,0.1,,1,1,3,2007,2007
"Diabetes Mellitus, Insulin-Dependent",C0011854,SLC5A1,6523,P13866,solute carrier family 5 member 1,Transporter,94,0.584,0.654,8.747E-08,0.1,,1,10,0,2004,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,SLC5A2,6524,P31639,solute carrier family 5 member 2,Transporter,214,0.499,0.769,4.9184E-14,0.1,,1,32,0,2017,2020
"Diabetes Mellitus, Insulin-Dependent",C0011854,SLC12A3,6559,P55017,solute carrier family 12 member 3,Transporter,252,0.493,0.808,3.0324E-32,0.1,,,0,0,,
"Diabetes Mellitus, Insulin-Dependent",C0011854,SLC16A2,6567,P36021,solute carrier family 16 member 2,Transporter,108,0.592,0.577,0.98828,0.1,,,0,0,,
"Diabetes Mellitus, Insulin-Dependent",C0011854,SRP54,6729,P61011,signal recognition particle 54,Nucleic acid binding,96,0.612,0.769,0.99895,0.1,,,0,0,,
"Diabetes Mellitus, Insulin-Dependent",C0011854,BRAF,673,P15056,"B-Raf proto-oncogene, serine/threonine kinase",Kinase,1228,0.319,0.846,0.99995,0.1,,,0,1,,
"Diabetes Mellitus, Insulin-Dependent",C0011854,ZFP36L1,677,Q07352,ZFP36 ring finger protein like 1,Nucleic acid binding,43,0.659,0.5,0.67406,0.1,,1,1,2,2011,2011
"Diabetes Mellitus, Insulin-Dependent",C0011854,TCF4,6925,P15884,transcription factor 4,Transcription factor,378,0.464,0.846,0.99981,0.1,,,0,0,,
"Diabetes Mellitus, Insulin-Dependent",C0011854,TCF7L2,6934,Q9NQB0,transcription factor 7 like 2,,257,0.485,0.846,0.99537,0.1,,1,12,3,2007,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,TRBV20OR9-2,6962,,T cell receptor beta variable 20/OR9-2 (non-functional),,456,0.403,0.923,,0.1,,1,15,0,1987,2018
"Diabetes Mellitus, Insulin-Dependent",C0011854,TGFB1,7040,P01137,transforming growth factor beta 1,Signaling,1558,0.287,0.962,0.03685,0.1,,1,14,1,2000,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,TGM2,7052,P21980,transglutaminase 2,Enzyme,315,0.445,0.808,6.8118E-18,0.1,,0.938,16,0,1999,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,C2,717,P06681,complement C2,,71,0.617,0.692,1.3494E-16,0.1,,1,1,2,2007,2007
"Diabetes Mellitus, Insulin-Dependent",C0011854,TPO,7173,P07202,thyroid peroxidase,Enzyme,306,0.455,0.846,1.8182E-21,0.1,,1,10,0,1996,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,VDR,7421,P11473,vitamin D receptor,Nuclear receptor,852,0.352,0.885,0.000016787,0.1,,0.93,71,12,1997,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,VEGFA,7422,P15692,vascular endothelial growth factor A,Signaling,1899,0.266,0.923,0.000024085,0.1,,0.917,12,0,2003,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,LY6G6E,79136,,lymphocyte antigen 6 family member G6E,,2,0.931,0.115,0.004387,0.1,,1,1,1,2007,2007
"Diabetes Mellitus, Insulin-Dependent",C0011854,FKRP,79147,Q9H9S5,fukutin related protein,,248,0.513,0.731,9.8362E-06,0.1,,1,1,1,2011,2011
"Diabetes Mellitus, Insulin-Dependent",C0011854,BAG6,7917,P46379,BAG cochaperone 6,Enzyme modulator,40,0.674,0.615,1,0.1,,1,1,7,2007,2007
"Diabetes Mellitus, Insulin-Dependent",C0011854,GPANK1,7918,O95872,G-patch domain and ankyrin repeats 1,,12,0.769,0.385,3.2444E-07,0.1,,1,1,1,2007,2007
"Diabetes Mellitus, Insulin-Dependent",C0011854,ABHD16A,7920,O95870,abhydrolase domain containing 16A,Enzyme,10,0.861,0.269,0.47336,0.1,,1,1,1,2007,2007
"Diabetes Mellitus, Insulin-Dependent",C0011854,EFL1,79631,Q7Z2Z2,elongation factor like GTPase 1,Enzyme,73,0.638,0.577,5.1247E-08,0.1,,,0,0,,
"Diabetes Mellitus, Insulin-Dependent",C0011854,ANKRD55,79722,Q3KP44,ankyrin repeat domain 55,,46,0.65,0.462,6.7577E-08,0.1,,1,1,1,2015,2015
"Diabetes Mellitus, Insulin-Dependent",C0011854,EHMT1,79813,Q9H9B1,euchromatic histone lysine methyltransferase 1,Epigenetic regulator,371,0.46,0.808,1,0.1,,1,14,0,2003,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,RNF39,80352,Q9H2S5,ring finger protein 39,,16,0.76,0.538,0.000020207,0.1,,1,1,1,2007,2007
"Diabetes Mellitus, Insulin-Dependent",C0011854,SLC44A4,80736,Q53GD3,solute carrier family 44 member 4,Transporter,39,0.678,0.615,1.0036E-14,0.1,,1,1,1,2007,2007
"Diabetes Mellitus, Insulin-Dependent",C0011854,VWA7,80737,Q9Y334,von Willebrand factor A domain containing 7,,6,0.839,0.308,2.3119E-11,0.1,,1,1,1,2007,2007
"Diabetes Mellitus, Insulin-Dependent",C0011854,LY6G6C,80740,O95867,lymphocyte antigen 6 family member G6C,,7,0.821,0.385,0.00049312,0.1,,1,1,3,2007,2007
"Diabetes Mellitus, Insulin-Dependent",C0011854,LY6G5C,80741,Q5SRR4,lymphocyte antigen 6 family member G5C,,3,0.931,0.192,0.40546,0.1,,1,1,1,2007,2007
"Diabetes Mellitus, Insulin-Dependent",C0011854,PRRT1,80863,Q99946,proline rich transmembrane protein 1,,6,0.821,0.269,0.29845,0.1,,1,1,1,2007,2007
"Diabetes Mellitus, Insulin-Dependent",C0011854,OR5V1,81696,Q9UGF6,olfactory receptor family 5 subfamily V member 1,G-protein coupled receptor,23,0.769,0.385,0.013153,0.1,,1,1,1,2007,2007
"Diabetes Mellitus, Insulin-Dependent",C0011854,OR12D3,81797,Q9UGF7,olfactory receptor family 12 subfamily D member 3,G-protein coupled receptor,27,0.743,0.385,0.0078534,0.1,,1,1,1,2007,2007
"Diabetes Mellitus, Insulin-Dependent",C0011854,GATD3A,8209,A0A0B4J2D5;P0DPI2,glutamine amidotransferase like class 1 domain containing 3A,,58,0.619,0.654,0.000029727,0.1,,1,1,1,2015,2015
"Diabetes Mellitus, Insulin-Dependent",C0011854,H2BC15,8341,Q99877,H2B clustered histone 15,Nucleic acid binding,6,0.861,0.192,0.00049469,0.1,,1,1,1,2007,2007
"Diabetes Mellitus, Insulin-Dependent",C0011854,H3C12,8356,P68431,H3 clustered histone 12,,38,0.666,0.385,0.60556,0.1,,1,1,1,2007,2007
"Diabetes Mellitus, Insulin-Dependent",C0011854,ITCH,83737,Q96J02,itchy E3 ubiquitin protein ligase,Enzyme,123,0.556,0.769,0.99997,0.1,,,0,0,,
"Diabetes Mellitus, Insulin-Dependent",C0011854,INSM2,84684,Q96T92,INSM transcriptional repressor 2,,11,0.821,0.192,0.88177,0.1,,1,12,0,1999,2018
"Diabetes Mellitus, Insulin-Dependent",C0011854,NKD1,85407,Q969G9,NKD inhibitor of WNT signaling pathway 1,,58,0.621,0.385,0.99344,0.1,,1,1,1,2015,2015
"Diabetes Mellitus, Insulin-Dependent",C0011854,USO1,8615,O60763,USO1 vesicle transport factor,Transporter,153,0.522,0.885,0.33417,0.1,,1,11,0,1993,2018
"Diabetes Mellitus, Insulin-Dependent",C0011854,STK19,8859,P49842,serine/threonine kinase 19,,28,0.691,0.5,6.7428E-09,0.1,,1,1,2,2007,2007
"Diabetes Mellitus, Insulin-Dependent",C0011854,SKAP2,8935,O75563,src kinase associated phosphoprotein 2,,49,0.653,0.577,0.0012836,0.1,,1,1,1,2009,2009
"Diabetes Mellitus, Insulin-Dependent",C0011854,PSTPIP1,9051,O43586,proline-serine-threonine phosphatase interacting protein 1,Cellular structure,54,0.65,0.577,2.4606E-06,0.1,,,0,0,,
"Diabetes Mellitus, Insulin-Dependent",C0011854,ANKRD30A,91074,Q9BXX3,ankyrin repeat domain 30A,,36,0.678,0.346,2.685E-45,0.1,,1,1,1,2015,2015
"Diabetes Mellitus, Insulin-Dependent",C0011854,ADIPOQ,9370,Q15848,"adiponectin, C1Q and collagen domain containing",,679,0.376,0.885,4.6434E-09,0.1,,0.962,26,2,2004,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,PPT2,9374,Q9UMR5,palmitoyl-protein thioesterase 2,Enzyme,27,0.751,0.5,0.0045415,0.1,,1,1,2,2007,2007
"Diabetes Mellitus, Insulin-Dependent",C0011854,CD28,940,P10747,CD28 molecule,,364,0.436,0.885,0.35779,0.1,,0.938,16,0,1996,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,HT,140805,,Hashimoto thyroiditis,,170,0.505,0.731,,0.09,,0.889,9,0,2004,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,DPT,1805,Q07507,dermatopontin,Extracellular structure,60,0.641,0.654,4.2743E-06,0.09,,0.778,9,0,2001,2018
"Diabetes Mellitus, Insulin-Dependent",C0011854,ICOS,29851,Q9Y6W8,inducible T cell costimulator,,193,0.502,0.731,0.031284,0.09,,1,9,1,2001,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,HLA-DOA,3111,P06340,"major histocompatibility complex, class II, DO alpha",Immune response,160,0.509,0.808,2.9776E-10,0.09,,0.889,9,0,1988,2015
"Diabetes Mellitus, Insulin-Dependent",C0011854,LINC01193,348120,,long intergenic non-protein coding RNA 1193,,91,0.565,0.692,,0.09,,0.889,9,0,2005,2015
"Diabetes Mellitus, Insulin-Dependent",C0011854,SH2D1A,4068,O60880,SH2 domain containing 1A,,160,0.525,0.731,0.38935,0.09,,1,9,0,2005,2018
"Diabetes Mellitus, Insulin-Dependent",C0011854,PON1,5444,P27169,paraoxonase 1,,496,0.409,0.885,9.8142E-11,0.09,,1,9,2,2000,2020
"Diabetes Mellitus, Insulin-Dependent",C0011854,BGLAP,632,P02818,bone gamma-carboxyglutamate protein,,274,0.462,0.846,4.6155E-08,0.09,,0.778,9,0,2014,2020
"Diabetes Mellitus, Insulin-Dependent",C0011854,ST3GAL4,6484,Q11206,"ST3 beta-galactoside alpha-2,3-sialyltransferase 4",,115,0.588,0.692,0.039802,0.09,,1,9,0,2016,2020
"Diabetes Mellitus, Insulin-Dependent",C0011854,SLC2A1,6513,P11166,solute carrier family 2 member 1,Transporter,687,0.388,0.808,0.9941,0.09,,0.889,9,1,1992,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,SOD2,6648,P04179,superoxide dismutase 2,Enzyme,668,0.379,0.923,0.15499,0.09,,1,9,1,1993,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,TLR4,7099,O00206,toll like receptor 4,,1174,0.321,0.962,4.6131E-09,0.09,,0.889,9,3,2004,2020
"Diabetes Mellitus, Insulin-Dependent",C0011854,WFS1,7466,O76024,wolframin ER transmembrane glycoprotein,,185,0.528,0.846,1.6231E-38,0.09,,1,9,4,2000,2018
"Diabetes Mellitus, Insulin-Dependent",C0011854,ADA,100,P00813,adenosine deaminase,Enzyme,379,0.44,0.885,2.8825E-12,0.08,,0.875,8,0,1994,2014
"Diabetes Mellitus, Insulin-Dependent",C0011854,ERVK-18,100775105,,endogenous retrovirus group K member 18,,106,0.56,0.654,,0.08,,0.875,8,0,1999,2006
"Diabetes Mellitus, Insulin-Dependent",C0011854,CXCR3,2833,P49682,C-X-C motif chemokine receptor 3,G-protein coupled receptor,367,0.436,0.808,0.181,0.08,,1,8,0,2002,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,IL4R,3566,P24394,interleukin 4 receptor,Receptor,242,0.474,0.846,0.00023013,0.08,,0.875,8,3,2002,2017
"Diabetes Mellitus, Insulin-Dependent",C0011854,LPA,4018,P08519,lipoprotein(a),Enzyme,340,0.444,0.769,6.5917E-89,0.08,,1,8,0,1993,2018
"Diabetes Mellitus, Insulin-Dependent",C0011854,TNFRSF11B,4982,O00300,TNF receptor superfamily member 11b,,443,0.422,0.808,0.16171,0.08,,1,8,0,2014,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,PIK3CA,5290,P42336,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha",Kinase,1511,0.292,0.923,1,0.08,,1,8,0,2016,2020
"Diabetes Mellitus, Insulin-Dependent",C0011854,PIK3CB,5291,P42338,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta",Kinase,1083,0.322,0.885,0.99964,0.08,,1,8,0,2016,2020
"Diabetes Mellitus, Insulin-Dependent",C0011854,PIK3CD,5293,O00329,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta",Kinase,1119,0.319,0.885,0.99999,0.08,,1,8,0,2016,2020
"Diabetes Mellitus, Insulin-Dependent",C0011854,PIK3CG,5294,P48736,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma",Kinase,1101,0.32,0.885,1.4076E-06,0.08,,1,8,0,2016,2020
"Diabetes Mellitus, Insulin-Dependent",C0011854,PTEN,5728,P60484,phosphatase and tensin homolog,Enzyme,1349,0.305,0.923,0.25651,0.08,,1,8,0,1984,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,TP53,7157,P04637,tumor protein p53,Transcription factor,2494,0.236,0.962,0.53235,0.08,,1,8,0,2008,2018
"Diabetes Mellitus, Insulin-Dependent",C0011854,TNFSF10,8743,P50591,TNF superfamily member 10,Signaling,445,0.413,0.885,0.13495,0.08,,1,8,2,2008,2018
"Diabetes Mellitus, Insulin-Dependent",C0011854,CD40,958,P25942,CD40 molecule,,528,0.396,0.846,0.84603,0.08,,0.875,8,0,1996,2017
"Diabetes Mellitus, Insulin-Dependent",C0011854,TXNIP,10628,Q9H3M7,thioredoxin interacting protein,,208,0.49,0.731,0.15918,0.07,,1,7,0,2013,2018
"Diabetes Mellitus, Insulin-Dependent",C0011854,CTNNB1,1499,P35222,catenin beta 1,,1368,0.303,0.885,0.99999,0.07,,1,7,0,2017,2020
"Diabetes Mellitus, Insulin-Dependent",C0011854,ESR1,2099,P03372,estrogen receptor 1,Nuclear receptor,1101,0.324,0.962,0.9992,0.07,,1,7,0,2011,2018
"Diabetes Mellitus, Insulin-Dependent",C0011854,HIF1A,3091,Q16665,hypoxia inducible factor 1 subunit alpha,Transcription factor,1044,0.327,0.923,0.9777,0.07,,1,7,0,2016,2020
"Diabetes Mellitus, Insulin-Dependent",C0011854,HSPA4,3308,P34932,heat shock protein family A (Hsp70) member 4,,550,0.394,0.923,0.99954,0.07,,0.857,7,0,1990,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,IDDM8,3407,,insulin dependent diabetes mellitus 8,,7,0.821,0.192,,0.07,,0.857,7,0,1996,2010
"Diabetes Mellitus, Insulin-Dependent",C0011854,IL1RN,3557,P18510,interleukin 1 receptor antagonist,,701,0.373,0.923,0.030914,0.07,,1,7,0,1994,2017
"Diabetes Mellitus, Insulin-Dependent",C0011854,IL7,3574,P13232,interleukin 7,,275,0.464,0.808,0.92574,0.07,,0.857,7,0,2007,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,IL22,50616,Q9GZX6,interleukin 22,,551,0.393,0.885,0.00018843,0.07,,1,7,0,2006,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,PTGS2,5743,P35354,prostaglandin-endoperoxide synthase 2,Enzyme,1234,0.314,0.962,0.99597,0.07,,1,7,0,1999,2017
"Diabetes Mellitus, Insulin-Dependent",C0011854,CCL2,6347,P13500,C-C motif chemokine ligand 2,Signaling,1157,0.321,0.962,0.60786,0.07,,1,7,0,2001,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,SLC2A4,6517,P14672,solute carrier family 2 member 4,Transporter,158,0.528,0.769,0.000047123,0.07,,0.857,7,1,1992,2017
"Diabetes Mellitus, Insulin-Dependent",C0011854,SOD1,6647,P00441,superoxide dismutase 1,Enzyme,689,0.379,0.962,0.1773,0.07,,1,7,2,2007,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,TIMP1,7076,P01033,TIMP metallopeptidase inhibitor 1,Enzyme modulator,603,0.38,0.885,0.4993,0.07,,1,7,0,2002,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,TLR2,7097,O60603,toll like receptor 2,,749,0.361,0.923,1.0152E-06,0.07,,0.857,7,2,2004,2020
"Diabetes Mellitus, Insulin-Dependent",C0011854,CCR2,729230,P41597,C-C motif chemokine receptor 2,,436,0.418,0.846,0.023412,0.07,,1,7,0,1999,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,CD14,929,P08571,CD14 molecule,,551,0.392,0.885,0.000048813,0.07,,1,7,0,1998,2017
"Diabetes Mellitus, Insulin-Dependent",C0011854,LINC02605,112935892,,long intergenic non-protein coding RNA 2605,,203,0.49,0.769,,0.06,,0.833,6,0,2007,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,NLRP3,114548,Q96P20,NLR family pyrin domain containing 3,,805,0.361,0.962,0.00081103,0.06,,1,6,1,2010,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,CYP2R1,120227,Q6VVX0,cytochrome P450 family 2 subfamily R member 1,,139,0.563,0.731,3.793E-10,0.06,,1,6,3,2007,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,CYBA,1535,P13498,cytochrome b-245 alpha chain,,177,0.52,0.769,8.8678E-06,0.06,,1,6,1,2003,2018
"Diabetes Mellitus, Insulin-Dependent",C0011854,DCN,1634,P07585,decorin,,297,0.457,0.808,0.31231,0.06,,0.833,6,0,1999,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,FOXO1,2308,Q12778,forkhead box O1,,380,0.433,0.846,0.99725,0.06,,1,6,0,2017,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,GC,2638,P02774,GC vitamin D binding protein,Transporter,219,0.489,0.885,2.7301E-11,0.06,,1,6,0,1983,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,GFAP,2670,P14136,glial fibrillary acidic protein,,447,0.421,0.885,1.4601E-06,0.06,,1,6,0,2015,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,IDDM4,3403,,insulin dependent diabetes mellitus 4,,6,0.839,0.192,,0.06,,0.833,6,0,1994,2004
"Diabetes Mellitus, Insulin-Dependent",C0011854,KIR2DS1,3806,Q14954,"killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 1",Receptor,123,0.537,0.769,,0.06,,1,6,1,2004,2017
"Diabetes Mellitus, Insulin-Dependent",C0011854,KIR3DL2,3812,P43630,"killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2",Receptor,118,0.543,0.769,6.0804E-12,0.06,,1,6,0,2004,2017
"Diabetes Mellitus, Insulin-Dependent",C0011854,OAS1,4938,P00973,2'-5'-oligoadenylate synthetase 1,Enzyme,72,0.626,0.654,0.000034489,0.06,,1,6,1,2005,2009
"Diabetes Mellitus, Insulin-Dependent",C0011854,SERPINA1,5265,P01009,serpin family A member 1,Enzyme modulator,482,0.41,0.923,6.8497E-08,0.06,,1,6,1,2002,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,POMC,5443,P01189,proopiomelanocortin,,873,0.356,0.846,0.00011658,0.06,,1,6,0,2004,2017
"Diabetes Mellitus, Insulin-Dependent",C0011854,PPARG,5468,P37231,peroxisome proliferator activated receptor gamma,Nuclear receptor,877,0.358,0.885,0.029194,0.06,,0.667,6,3,2004,2018
"Diabetes Mellitus, Insulin-Dependent",C0011854,REG1A,5967,P05451,regenerating family member 1 alpha,,264,0.467,0.846,0.000013499,0.06,,1,6,0,1996,2010
"Diabetes Mellitus, Insulin-Dependent",C0011854,RENBP,5973,P51606,renin binding protein,Enzyme,156,0.528,0.769,0.44916,0.06,,1,6,0,2001,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,TCF7,6932,P36402,transcription factor 7,,108,0.556,0.654,0.0053732,0.06,,1,6,2,2001,2009
"Diabetes Mellitus, Insulin-Dependent",C0011854,TG,7038,P01266,thyroglobulin,Enzyme modulator,240,0.48,0.808,2.8802E-59,0.06,,1,6,0,1990,2013
"Diabetes Mellitus, Insulin-Dependent",C0011854,TNFSF11,8600,O14788,TNF superfamily member 11,Signaling,327,0.453,0.846,0.0049159,0.06,,1,6,0,2014,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,CYP24A1,1591,Q07973,cytochrome P450 family 24 subfamily A member 1,Enzyme,171,0.518,0.692,3.1964E-23,0.05,,0.8,5,0,2006,2015
"Diabetes Mellitus, Insulin-Dependent",C0011854,NUDT10,170685,Q8NFP7,nudix hydrolase 10,Enzyme,23,0.705,0.423,0.1065,0.05,,1,5,0,1996,2014
"Diabetes Mellitus, Insulin-Dependent",C0011854,DMD,1756,P11532,dystrophin,,484,0.423,0.923,1,0.05,,1,5,1,2017,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,NLRP1,22861,Q9C000,NLR family pyrin domain containing 1,,200,0.502,0.769,4.9693E-19,0.05,,1,5,3,2010,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,GCGR,2642,P47871,glucagon receptor,G-protein coupled receptor,47,0.656,0.308,2.2154E-06,0.05,,1,5,1,1995,2018
"Diabetes Mellitus, Insulin-Dependent",C0011854,DEXI,28955,O95424,Dexi homolog,,11,0.792,0.308,0.4145,0.05,,0.8,5,0,2012,2020
"Diabetes Mellitus, Insulin-Dependent",C0011854,HSP90AA1,3320,P07900,heat shock protein 90 alpha family class A member 1,Chaperone,455,0.411,0.923,0.86025,0.05,,1,5,0,2003,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,HSPD1,3329,P10809,heat shock protein family D (Hsp60) member 1,,398,0.432,0.808,0.99257,0.05,,1,5,0,1999,2017
"Diabetes Mellitus, Insulin-Dependent",C0011854,IDDM7,3406,,insulin dependent diabetes mellitus 7,,5,0.861,0.192,,0.05,,1,5,0,1995,2003
"Diabetes Mellitus, Insulin-Dependent",C0011854,IDDM13,3412,,insulin dependent diabetes mellitus 13,,3,0.89,0.192,,0.05,,1,5,0,1998,2002
"Diabetes Mellitus, Insulin-Dependent",C0011854,GOLGA6A,342096,Q9NYA3,golgin A6 family member A,,90,0.592,0.654,0.0000161,0.05,,1,5,0,2017,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,CXCL8,3576,P10145,C-X-C motif chemokine ligand 8,Signaling,1254,0.31,0.962,0.00027377,0.05,,1,5,0,2002,2014
"Diabetes Mellitus, Insulin-Dependent",C0011854,IL15,3600,P40933,interleukin 15,,426,0.422,0.846,0.70859,0.05,,0.8,5,0,2008,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,ITGAM,3684,P11215,integrin subunit alpha M,,343,0.443,0.808,3.3148E-11,0.05,,1,5,1,1991,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,LCN2,3934,P80188,lipocalin 2,Enzyme,497,0.405,0.885,1.1404E-09,0.05,,1,5,0,2010,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,SOST,50964,Q9BQB4,sclerostin,,270,0.474,0.808,0.86731,0.05,,1,5,0,2017,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,IL23A,51561,Q9NPF7,interleukin 23 subunit alpha,Signaling,427,0.415,0.846,0.35806,0.05,,1,5,1,2004,2017
"Diabetes Mellitus, Insulin-Dependent",C0011854,KRT20,54474,P35900,keratin 20,,559,0.388,0.846,9.0776E-11,0.05,,1,5,0,2007,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,AVP,551,P01185,arginine vasopressin,Signaling,454,0.437,0.846,0.074413,0.05,,0.8,5,0,2017,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,RCBTB1,55213,Q8NDN9,RCC1 and BTB domain containing protein 1,Enzyme modulator,112,0.572,0.692,1.5605E-06,0.05,,1,5,0,2017,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,MOK,5891,Q9UQ07,MOK protein kinase,Kinase,251,0.476,0.769,8.8397E-22,0.05,,1,5,2,1999,2018
"Diabetes Mellitus, Insulin-Dependent",C0011854,SLC2A2,6514,P11168,solute carrier family 2 member 2,Transporter,123,0.572,0.692,3.4337E-08,0.05,,1,5,1,1993,2020
"Diabetes Mellitus, Insulin-Dependent",C0011854,TLR3,7098,O15455,toll like receptor 3,Receptor,393,0.427,0.885,1.6349E-07,0.05,,1,5,4,2005,2018
"Diabetes Mellitus, Insulin-Dependent",C0011854,C4B,721,P0C0L4;P0C0L5,complement C4B (Chido blood group),Enzyme modulator,66,0.603,0.808,0.83464,0.05,,1,5,0,1984,2012
"Diabetes Mellitus, Insulin-Dependent",C0011854,BEST1,7439,O76090,bestrophin 1,Ion channel,292,0.465,0.885,1.8214E-12,0.05,,1,5,0,2017,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,GDF5,8200,P43026,growth differentiation factor 5,Signaling,238,0.511,0.692,0.67002,0.05,,1,5,1,2015,2018
"Diabetes Mellitus, Insulin-Dependent",C0011854,MS4A1,931,P11836,membrane spanning 4-domains A1,Receptor,451,0.411,0.846,0.000050781,0.05,,1,5,0,2007,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,SOX13,9580,Q9UN79,SRY-box transcription factor 13,,17,0.743,0.385,0.94185,0.05,,1,5,0,2000,2002
"Diabetes Mellitus, Insulin-Dependent",C0011854,HOTAIR,100124700,,HOX transcript antisense RNA,,234,0.475,0.769,,0.04,,1,4,0,2018,2020
"Diabetes Mellitus, Insulin-Dependent",C0011854,PTPRU,10076,Q92729,protein tyrosine phosphatase receptor type U,Enzyme,88,0.581,0.654,0.39251,0.04,,1,4,0,1996,2004
